points,A_glotis,A_epiglotis,r_curvature,d_trachea,l_trachea,teta_branch_trachea,l_l,l_r,teta_branch_l,teta_branch_r,l_ll,l_lr,l_rl,l_rr,teta_branch_ll,teta_branch_lr,teta_branch_rl,teta_branch_rr,l_lll,l_llr,l_lrl,l_lrr,l_rll,l_rlr,l_rrl,l_rrr
snapshot37.bin,89.43969634,261.6013836,49.91545005,20.40421268,109.9643519,96.37506624,53.45921282,27.31048341,77.3949397,89.0592501,20.62719596,23.67522777,34.94847103,17.01979619,90.62029614,101.9727337,75.36999985,104.7328906,9.708455712,8.94135149,10.06404921,9.899560878,18.98425936,8.504451066,8.693508505,9.768269016
snapshot38.bin,87.23360288,201.9801814,49.48767222,17.57426422,126.4472036,89.04461635,54.70787888,25.62705472,81.09066927,90.9729979,20.6353376,19.6226903,31.06559846,15.38801947,95.62854329,83.43857239,84.11810742,89.37870104,11.97510252,7.635457738,10.89253389,7.273924148,18.36064102,11.68029321,9.750353616,8.005455062
snapshot39.bin,229.7487712,130.8648738,49.68112771,17.77139272,113.9665787,83.77318092,56.36786625,27.5141828,89.12138627,84.73990544,20.73828335,20.06628577,38.51385729,19.29991201,101.9967545,86.84351858,84.33194862,100.4669375,11.84142588,9.327571822,8.969733287,7.315616022,17.79964599,12.16839562,8.505268269,7.773816239
snapshot40.bin,215.002904,129.1262677,50.76135558,18.71104995,107.8033631,91.70511937,53.54633201,26.58202576,84.23657285,77.4901084,22.51413836,23.51900811,33.39624607,15.86722625,86.36531369,90.25612749,83.4346659,102.1435696,10.10337043,6.702405575,7.331523657,9.096728266,18.65413619,12.97429539,7.549034602,7.663894715
snapshot41.bin,120.039245,250.6291273,47.13522142,17.72607439,119.2259938,82.71931693,53.62120043,27.46466896,88.62626227,81.17399793,20.33621745,23.58643486,36.12368605,19.18495066,93.00540463,91.94118676,77.6384002,99.05370357,12.24178022,9.369576568,8.07311687,7.591340096,17.19115042,12.50225542,7.654420732,9.032090866
snapshot42.bin,94.08137373,124.7145147,47.67275105,19.74133668,116.0948319,83.48067015,51.66394755,26.22070319,82.61094965,83.92420465,20.78945533,20.22458366,31.84956318,16.66338514,80.00218426,83.77116651,79.98961796,86.60884117,11.50151091,6.675798655,8.932312026,9.530523867,17.04038188,9.863491372,9.637508078,7.643995808
snapshot43.bin,174.2812504,283.7355934,53.97963797,19.44650002,107.8574438,97.64971491,54.9165225,25.20456042,72.23645173,89.82868264,22.44434359,20.3061549,35.22664285,15.98652367,88.21707875,84.63675862,87.5752302,89.05535662,10.86223877,8.499774602,8.340132311,10.91781621,16.82280581,8.798541048,8.919646797,8.442904683
snapshot44.bin,188.3957389,225.2496717,50.8323249,20.3602644,127.2727908,92.81389822,53.40814381,24.26292157,82.03583488,85.16609816,20.73280903,24.7249918,36.89340973,17.42688403,98.25338226,82.34820765,88.44979161,87.46092154,9.892143655,9.740865393,10.93053074,10.09921412,16.50932509,8.877809092,7.499253639,8.297727309
snapshot45.bin,204.1474694,125.3916361,49.5591906,20.1268172,114.5270075,80.23843481,53.9938472,24.89888163,79.08377512,85.20411134,22.33924185,20.1919603,33.19189401,16.85034215,101.391974,88.91684841,86.50557098,85.1318137,7.006448677,6.682031418,10.40123121,9.030473414,18.26543107,12.96196433,7.196027492,7.133910411
snapshot46.bin,126.0755974,86.75925059,53.83372895,18.52046745,118.75958,83.86370101,55.90136693,24.57363119,70.24484306,79.30928016,23.5716362,19.79974797,34.98235272,19.3363364,102.3919374,99.33540745,87.16345226,87.97508987,12.71053694,9.582152857,8.753735521,8.451891247,17.4643998,9.166206091,8.478756905,7.707574897
snapshot47.bin,183.2427401,313.1229423,51.35809461,17.32449898,106.0991772,81.60019893,55.45680892,27.36783669,75.3474798,93.48896718,24.25305574,23.25560001,34.56050414,15.44801822,102.4156169,82.88714542,75.09746793,82.39565065,8.563667914,8.309291924,9.00394092,8.919446419,18.35634769,10.53250535,8.384322532,8.526833519
snapshot48.bin,176.7160057,127.7861128,46.10841683,18.96364284,121.8218673,91.11081927,53.9773171,26.32517685,77.77261841,87.19007711,24.93100499,19.07642094,32.71087824,19.40515496,99.97817482,82.6531453,75.7551721,100.8241162,8.945542219,9.472839369,7.668139477,10.95585688,17.43257544,8.979984408,9.104000231,7.231298319
snapshot49.bin,179.1689463,168.9101593,47.47108228,16.52033695,126.7570262,99.98147012,52.13491637,24.40011795,82.47117283,83.33187369,21.75205275,19.59584831,38.14477695,17.63203988,89.6023508,94.24910382,87.04842962,95.10004831,10.7942138,9.081171024,8.172387361,7.33151512,17.55672229,11.23924564,7.358781097,9.93247571
snapshot50.bin,192.521759,320.328271,52.72192973,20.6663399,110.85603,87.10989542,52.42826222,25.89635697,70.32105122,81.75634364,20.72082675,21.97682308,33.00842177,15.73675226,84.3907867,93.4103277,77.38263177,80.40009535,9.10166668,7.362641773,9.228324501,10.26486218,18.85842584,10.22831777,7.512026974,8.319040117
snapshot51.bin,194.0430692,162.1319196,49.76761062,18.8685477,121.3007911,99.19871647,52.20144092,26.34708536,74.22277534,87.83975711,21.79402925,22.28814913,32.75539688,15.6293414,81.34988202,95.36477419,83.9184836,83.71167992,8.009915213,7.667384099,8.086726549,10.66378806,17.1753181,12.58831975,7.471964545,7.53314421
snapshot52.bin,108.8346402,232.6160505,46.32362948,19.5420464,119.12271,92.0566952,51.12118982,24.72545444,76.161044,87.57270576,20.93285969,19.17228158,38.23429148,17.51906242,93.41550498,85.60851505,86.03134694,95.32906108,10.90549022,8.208543682,10.6088347,8.462289539,16.68611556,8.802721728,9.678833613,8.418039154
snapshot53.bin,103.0497961,281.9944727,51.13158847,19.5490207,124.729719,96.28836828,52.73879194,25.65212029,71.2540747,77.02066369,23.66156137,21.70046034,35.95387979,19.83895493,92.22379956,104.3085916,79.70982172,94.6698582,10.66586103,9.507842301,8.80885023,10.86371899,17.06420176,8.696293692,7.441301706,7.043060992
snapshot54.bin,108.9578405,91.52134589,50.01862203,16.75470555,110.6114543,82.91065003,54.09016505,26.69371269,70.77781285,88.16606511,23.3990387,22.19388919,31.96830636,18.42998512,100.5980551,95.80802774,85.34672975,92.78340867,10.82862767,9.786412629,8.190696455,9.277516425,18.78556221,8.521132838,7.465256035,8.340433838
snapshot55.bin,200.8898976,194.8430544,53.78413038,16.55828707,112.1540426,88.41672633,53.24088543,24.9641672,82.8576214,90.09246193,24.09101076,20.4360866,37.24079438,17.00375627,93.62730449,103.9997983,87.42028165,97.8712674,7.376613819,6.289073475,8.988987755,9.493947924,18.60494613,11.41499803,8.346376041,8.161323048
snapshot56.bin,157.3134882,116.6843787,52.62885479,17.08984252,126.0282125,92.4879028,54.33929591,24.77823155,71.29352027,81.83442193,23.56757428,23.54555404,32.32590146,17.18963137,99.50066827,86.13568171,82.08996049,92.8789923,10.43507771,7.856656613,10.56734093,7.187417611,17.24941185,12.50562898,7.25870614,8.565015877
snapshot57.bin,139.7276066,214.5427568,50.58201273,19.66364922,114.0676068,94.63112812,55.94915166,27.24637671,85.72946765,91.32939057,20.41448913,23.22483976,34.83428897,15.81425584,104.5472437,88.24566589,77.28884635,94.86887921,7.190628094,7.201489407,8.171522363,10.81514796,17.42521388,9.867470359,8.04033168,9.421274514
snapshot58.bin,166.5754493,278.3879177,51.21032648,20.89382833,110.5699158,85.04390596,56.69252818,27.14111695,72.81631595,85.44227998,22.7133763,24.76138864,35.39758754,18.90151925,94.97370525,81.40229215,81.62774929,88.3933457,7.49334437,8.347716465,8.34819197,7.73206154,17.71633871,12.56841473,7.808928871,7.19117604
snapshot59.bin,180.9595249,334.7935787,52.83721017,19.96946114,110.4922737,81.05064621,56.50582829,26.70190343,88.72659717,88.15421721,23.54394445,22.63549526,31.16496461,19.72664476,104.816978,89.71420575,79.34853467,93.69569992,11.9029382,7.522203465,9.849760868,9.927249267,18.15381121,11.51549294,9.303328294,9.554531364
snapshot60.bin,137.5177382,121.4405189,46.41918401,16.69628411,129.0997712,81.57103355,55.60638167,24.41601888,76.32843079,88.84936973,21.12185915,22.40145145,35.76407443,15.35525147,98.4617159,95.24522806,78.51356281,96.48054982,9.245592779,9.773357131,10.10059645,10.49827872,17.62275491,9.697469748,7.329742732,9.793092664
snapshot61.bin,89.83985856,279.2115163,50.29500067,20.23782199,129.0337795,88.61338824,52.66293013,27.77304159,89.00820344,79.99294748,23.33945169,21.25029006,37.98403639,17.02469938,97.72386929,98.57669323,86.89626366,92.23979098,9.4173376,8.775110015,8.920833979,10.19448308,16.60267947,9.29479368,7.177038901,8.486033321
snapshot62.bin,161.233204,152.0719132,47.49049243,19.76567145,108.5895896,82.95274264,54.78636315,27.80141134,77.46820298,87.29449889,20.39299019,21.026685,34.0226516,19.51583061,86.31679635,82.28804737,77.02458814,97.44632809,11.66911379,7.263806505,10.57198029,8.292952988,17.88593297,9.607234061,7.270208663,7.856734648
snapshot63.bin,169.1984121,262.1568276,49.08399982,17.36287827,107.6418442,94.15871946,51.25348555,24.39340547,83.73597837,93.69446543,21.26079319,19.39457053,36.03103517,19.39609497,90.36929774,85.52063587,78.78643567,100.3857594,12.54064892,6.799926537,10.86536526,9.082338844,17.1647864,10.44813069,7.226238867,7.662987641
snapshot64.bin,191.6429278,218.2516653,46.49736605,19.28539933,118.6843259,84.71964267,51.38663616,26.78274976,88.48878085,87.10793114,22.8121407,24.19553598,33.80818264,15.07901312,104.9229621,94.79923726,88.73082323,93.61271061,10.02465723,9.121289817,7.63818602,7.143262796,16.67238695,11.59905434,9.027811521,9.042472283
snapshot65.bin,205.4909767,324.0427812,51.9199433,18.21968153,125.6039786,84.2581076,56.16189259,25.17003285,79.54356216,90.41642515,20.37909948,22.54627598,34.76633389,16.41282504,100.8458194,92.24187536,75.4900433,91.48480734,11.59282522,8.340172893,9.576768675,10.91302621,16.96175821,10.61228099,9.782627487,9.213119901
snapshot66.bin,172.659678,146.2014346,49.00531035,20.31626505,107.1348743,96.26260352,52.85940829,25.84885396,73.76332538,87.63125349,24.90019187,20.99636371,33.49253428,17.7543365,90.5750758,103.2362587,89.13537462,81.02957454,8.161419522,8.873459211,7.359370994,9.173556649,16.6676506,9.429262363,8.435203739,8.660512632
snapshot67.bin,112.8894433,163.4360332,51.90022133,17.54989057,116.6242263,87.95473171,56.94585269,27.72576151,81.99336341,89.85482844,21.30451613,23.80491764,38.50196415,16.12605752,99.89446936,85.45429005,79.65385051,86.55064264,7.985478459,9.983539548,8.585348093,7.560631622,18.11639093,8.732126888,7.278907137,8.580347075
snapshot68.bin,111.6160841,237.8221463,51.22382654,19.26754062,126.3175948,82.30599407,53.39072717,26.83484179,82.67559005,94.37042072,21.54088283,22.02268794,32.52699554,16.65570085,94.48198651,101.5812444,76.44640031,92.32356063,7.213871714,7.384151494,8.185364967,10.66855221,18.43365816,11.62245246,8.509846364,7.330981407
snapshot69.bin,226.9747523,297.3443048,53.85054418,18.84138414,114.6290232,95.50292764,56.24002121,27.61543076,81.22744639,76.12855364,23.35322253,20.8378828,34.71420334,18.05909504,85.17106613,94.9841809,81.12509063,96.14745077,7.70642627,7.527605616,8.052344674,7.547966454,18.73162247,12.22529431,9.662599015,8.986279488
snapshot70.bin,149.020135,106.47147,53.01420217,19.98956138,117.0569928,98.74118625,51.49412711,26.11072051,88.57721811,75.67810054,21.32932758,24.11474251,34.43547107,15.37332275,91.10853399,93.36204676,79.00317209,102.0396197,12.82427352,9.823783614,7.352870691,8.055920256,17.53415897,10.62384908,8.614092743,8.099313713
snapshot71.bin,87.53769599,281.5059069,47.50872979,20.10672074,105.7630226,83.65447621,53.69025213,24.15954449,78.05267169,87.99762793,22.94368815,22.43013252,35.42345975,19.26601389,83.98165135,92.17084644,82.92673669,94.27766907,12.74915707,7.483457814,8.74034584,7.750364768,18.99771353,11.09162364,8.07704863,7.305709781
snapshot72.bin,212.6171245,196.5431364,50.67804269,20.75363432,126.5621775,96.35905901,56.84941483,26.77929319,81.12305102,92.95148834,22.47878304,22.11103717,33.38935825,18.44264494,81.17004495,81.54121758,75.7775146,102.5606474,12.41573897,7.405707478,8.387650006,10.83008635,16.81180493,11.06821152,9.534825285,8.03005622
snapshot73.bin,98.10740348,114.9741069,50.74077517,19.04683957,118.1883838,83.88700194,55.02947747,26.61935304,87.55058755,79.93675363,20.14721033,23.5724235,38.93604154,18.56918552,96.50911969,81.07001462,83.02314258,89.69074166,9.259017039,7.614557203,9.300443467,10.32051148,17.61904368,12.83307402,9.221971401,9.516440147
snapshot74.bin,224.2920474,202.3286627,46.46465711,18.04815258,127.1746633,80.8045652,52.1617448,26.04295242,87.22220006,77.14353582,21.07717446,24.59121662,32.65741109,17.88579887,102.3467783,81.99661866,80.94514741,99.07958746,11.30238793,8.707701369,8.226223267,9.644235209,17.0078326,9.033000642,8.646984133,8.924553743
snapshot75.bin,136.3369328,288.4602388,53.29031775,19.09716753,118.6386523,86.22155987,51.39169986,27.37569287,79.00119125,90.1721422,20.18185867,20.69694715,32.6518301,15.13160546,84.33117375,86.31735348,81.48004766,90.97227768,9.516468088,8.887265726,7.098818233,9.488558555,16.52696236,9.359099447,8.233814164,9.236667703
